NUM,NAME,BA,MARS,SEATS,SFWAIT,SFBOARD,GR,GRMARS,SUBA,SUBB,CARRIER
201,B1,B,FALSE,83,1809,456,3,,,,DL
202,B3,B,FALSE,190,2532,594,3,,,,F9
203,B5,B,FALSE,190,2532,594,3,,,,
204,B7,B,TRUE,190,2532,594,5,3,B7a,B7b,WN
205,B9,B,FALSE,190,2532,594,3,,,,WN
206,B11,B,FALSE,190,2532,594,3,,,,WN
207,B13,B,FALSE,190,2532,594,3,,,,WN
208,B15,B,FALSE,190,2532,594,3,,,,WN
209,B17,B,FALSE,190,2532,594,3,,,,
210,B19,B,FALSE,190,2532,594,3,,,,
211,B21,B,FALSE,190,2532,594,3,,,,AA
212,B23,B,FALSE,190,2532,594,3,,,,AA
213,B24,B,TRUE,190,2532,594,5,3,B24a,B24b,AA
214,B22,B,FALSE,190,2532,594,3,,,,AA
215,B20,B,TRUE,190,2532,594,5,3,B20a,B20b,
216,B18,B,TRUE,190,2532,594,6,3,B18a,B18b,
217,B14,B,TRUE,190,2532,594,6,3,B14a,B14b,
218,B10,B,TRUE,190,2532,594,6,3,B10a,B10b,
219,B6,B,TRUE,190,2532,594,6,3,B6a,B6b,
220,B4,B,FALSE,190,2532,594,3,,,,
221,B2,B,FALSE,129,2532,594,3,,,,
301,C1,C,FALSE,,,,3,,,,DL
302,C3,C,FALSE,,,,3,,,,DL
303,C5,C,FALSE,,,,5,,,,DL
304,C7,C,TRUE,,,,5,3,C7a,C9,DL
305,C10,C,FALSE,,,,3,,,,DL
306,C8,C,TRUE,,,,5,3,C8a,C6,DL
307,C4,C,FALSE,,,,3,,,,DL
308,C2,C,FALSE,,,,3,,,,DL
