"","BIN","SumAREA","WMeanAREA","MaxAREA","MaxVIEWS","MaxSOLAR","WMeanVIEWS","WMeanSOLAR","WMeanCOMPACTNESS","MaxWIDTH","HEIGHTROOF","YEAR","NAME","BBL","LandUseString","ASPECT","SUBWAY800","SUBWAY400","SBIN"
"1",1022667,735618.38,25366.21,25413.57,6.57,1.34,109.86,0.11,0.9,129.23,370.67,1987,"",1009990019,"COMMERCIAL","MIDBLOCK",6,2,"S1022667"
"2",1023157,1709467.49,33343.76,72397.99,86.13,9,457.6,1.28,0.96,180.35,746.25991,1985,"AXA Center",1010040020,"COMMERCIAL","ENDBLOCK",4,4,"S1023157"
"3",1023161,1650891.63,39750.11,57597.63,44.26,4.65,213.62,0.93,0.9,181.79,602.32,1965,"Credit Lyonnais Building",1010050029,"COMMERCIAL","ENDBLOCK",4,3,"S1023161"
"4",1024686,1145308.56,26635.16,26716,39.24,6.76,446.69,1.23,0.94,149.77,488.49,1999,"",1010140033,"COMMERCIAL","ENDBLOCK",7,6,"S1024686"
"5",1024812,2312731.55,47576.01,64120.55,66.6,4.58,643.98,2.15,0.96,188.94,665.35,1972,"",1010220043,"COMMERCIAL","ENDBLOCK",6,3,"S1024812"
"6",1035053,364956.06,19237.46,25989.44,25.37,1.59,121.66,0.33,0.93,123.33,382.17,1921,"Crown Building",1012720039,"COMMERCIAL","ENDBLOCK",4,2,"S1035053"
"7",1035071,1563025.92,30593.26,34939.62,78.39,4.35,697.08,2.06,0.92,134.81,671.92,1971,"Solow Building",1012730022,"COMMERCIAL","MIDBLOCK",5,2,"S1035071"
"8",1035071,1563025.92,30593.26,34939.62,78.39,4.35,697.08,2.06,0.92,134.81,671.92,1971,"Solow Building",1012730022,"COMMERCIAL","MIDBLOCK",5,2,"S1035071"
"9",1035071,1563025.92,30593.26,34939.62,78.39,4.35,697.08,2.06,0.92,134.81,671.92,1971,"Solow Building",1012730022,"COMMERCIAL","MIDBLOCK",5,2,"S1035071"
"10",1035319,667729.06,25655.54,35531.63,28.49,3.56,141.71,1.44,0.9,174.93,476.29,1950,"",1012750027,"COMMERCIAL","ENDBLOCK",7,3,"S1035319"
"11",1035421,1720808.55,39176.61,62457.53,81.9,4.43,418.18,1.52,0.95,171,708.46,1958,"",1012830021,"COMMERCIAL","FULLBLOCK",5,0,"S1035421"
"12",1035434,596704.87,12861.35,16484.91,55.64,4.39,348.55,1.57,0.78,98.92,616.48,1984,"",1012840007,"COMMERCIAL","MIDBLOCK",6,0,"S1035434"
"13",1035727,929139.85,22444.67,31113.05,39.55,8.23,266.41,1.39,0.98,155.74,573.33,1982,"",1012890014,"COMMERCIAL","ENDBLOCK",4,2,"S1035727"
"14",1035776,408705.28,20428.59,27932.32,9.04,5.56,67.74,0.47,0.78,153.15,358.78,1958,"",1012917501,"COMMERCIAL","ENDBLOCK",4,2,"S1035776"
"15",1036205,1839141.48,40683.88,62150.76,55.74,5.38,423.96,1.73,0.86,170.44,612.43,1966,"American Brands Building",1013010001,"COMMERCIAL","FULLBLOCK",5,3,"S1036205"
"16",1036205,1839141.48,40683.88,62150.76,55.74,5.38,423.96,1.73,0.86,170.44,612.43,1966,"American Brands Building",1013010001,"COMMERCIAL","FULLBLOCK",5,3,"S1036205"
"17",1036223,1085517.79,24670.86,24670.86,45.87,2.89,396.42,1.66,1,150.79,572.789578,1966,"",1013030001,"COMMERCIAL","ENDBLOCK",5,3,"S1036223"
"18",1036460,1718897.95,36941.27,56714.99,54.13,8.4,460.7,1.85,0.89,176.67,630.31,1969,"",1013060001,"COMMERCIAL","FULLBLOCK",4,3,"S1036460"
"19",1076193,2036750.54,44308.3,50816.37,76.08,7.56,488.83,1.68,0.97,191.17,659.9,1987,"Morgan Stanley Building",1010197502,"COMMERCIAL","ENDBLOCK",6,3,"S1076193"
"20",1076203,2026590.06,35854.66,56763.43,90.39,9,999.39,2.89,1.02,198.92,618.5,1987,"Worldwide Plaza",1010400029,"COMMERCIAL","ENDBLOCK",6,2,"S1076203"
"21",1076262,2788985.69,48300.53,99108.61,97.93,4.72,647.77,2.01,0.82,190.88,834.56,1937,"RCA Building",1012657501,"COMMERCIAL","ENDBLOCK",6,2,"S1076262"
"22",1076267,352167.9,14242.47,16431.09,4.63,0.85,55.26,0.13,0.89,117.52,293.4,1986,"",1012870028,"COMMERCIAL","MIDBLOCK",3,3,"S1076267"
"23",1076268,1865566.86,44038.34,69093.47,76.75,8.75,433.28,1.24,0.96,187.01,695.53,1963,"",1013027501,"COMMERCIAL","FULLBLOCK",5,3,"S1076268"
"24",1083719,1620268.34,33755.59,33755.59,58.53,4.24,534.1,1.65,0.99,158.83,643.39,1968,"Alliance Capital",1010070029,"COMMERCIAL","ENDBLOCK",4,3,"S1083719"
"25",1083869,1228548.49,29019.47,37953.51,36.31,4.91,273.87,1.42,0.95,181.63,585.37,1980,"Park Avenue Plaza",1012880027,"COMMERCIAL","MIDBLOCK",4,3,"S1083869"
"26",1084667,1202516,31526.28,46360.12,32.35,3.7,249.27,1.02,0.97,192.03,528.69,1999,"",1010020001,"COMMERCIAL","ENDBLOCK",6,4,"S1084667"
"27",1085401,2561070.87,113446.77,125894.57,48.76,7.27,746.15,2.69,0.96,275.39,258.19,0,"",1007290001,"OTHER","ENDBLOCK",1,0,"S1085401"
"28",1088910,2044397.65,69810.24,81698,69.97,8,646.85,2.16,0.88,223.49,442.411512,1932,"",1008547501,"COMMERCIAL","FULLBLOCK",3,2,"S1088910"
